strategy,day,soc_start_percent,soc_min_percent,soc_end_percent,e_pv_wh,e_ev_useful_wh,e_ev_during_battery_discharge_wh,requested_output_service_percent
fis,1,80.0,68.28340752497934,68.28340752497934,494.6421524071402,674.4999999999995,674.4999999999995,19.387755102040835
fis,2,68.28340752497934,67.36567615187793,68.30888807334118,494.6421524071402,301.74999999999994,301.74999999999994,8.673469387755116
fis,3,68.30888807334118,67.39115670023979,68.33463513158934,494.6421524071402,301.74999999999994,301.74999999999994,8.673469387755116
fis,4,68.33463513158934,67.41690375848795,68.36533634061043,494.6421524071402,301.74999999999994,301.74999999999994,8.673469387755116
fis,5,68.36533634061043,67.44760496750904,68.2028540385879,494.6421524071402,307.66666666666663,307.66666666666663,8.843537414965999
threshold,1,80.0,44.558471583763556,44.558471583763556,494.6421524071402,1396.3333333333346,1396.3333333333346,40.136054421768755
threshold,2,44.558471583763556,43.64074021066216,44.04874295302666,494.6421524071402,319.5,319.5,9.183673469387768
threshold,3,44.04874295302666,43.13101157992526,44.08131335367003,494.6421524071402,301.74999999999994,301.74999999999994,8.673469387755116
threshold,4,44.08131335367003,43.16358198056862,43.92193282979217,494.6421524071402,307.66666666666663,307.66666666666663,8.843537414965999
threshold,5,43.92193282979217,43.004201456690765,43.94341689192969,494.6421524071402,301.74999999999994,301.74999999999994,8.673469387755116
