metric,fis,threshold
demand_weighted_service_denominator,17.60000000000003,17.60000000000003
demand_weighted_service_index,0.3319128787878773,0.5113636363636364
demand_weighted_service_numerator,5.84166666666665,9.000000000000016
e_battery_external_charge_wh,413.129106960918,21.214882223107
e_battery_external_discharge_wh,662.1680473283818,1130.8598831966312
e_battery_stored_charge_wh,371.81619626482603,19.0933940007963
e_battery_stored_discharge_wh,697.0189971877726,1190.3788244175119
e_ev_useful_wh,1337.1666666666679,2094.5000000000023
e_pv_curtailed_wh,2.220446049250313e-15,0.0
e_pv_potential_wh,1390.4686353901106,1390.4686353901106
e_station_base_wh,120.0000000000005,120.0000000000005
mode_changes,10.0,2.0
pv_utilization_percent,100.0,100.0
requested_output_hours,48.99999999999994,48.99999999999994
requested_output_service_percent,38.435374149659914,60.204081632652965
served_output_hours,18.833333333333336,29.49999999999992
soc_change_percentage_points,-9.033411136748512,-32.53570640046428
soc_final_percent,70.96658886325149,47.46429359953572
soc_initial_percent,80.0,80.0
soc_min_percent,70.96658886325149,47.46429359953572
unserved_output_hours,30.166666666666647,19.499999999999943
unserved_station_energy_wh,2.220446049250313e-16,4.440892098500626e-16
