metric,fis,threshold
demand_weighted_service_denominator,17.60000000000003,17.60000000000003
demand_weighted_service_index,0.4618055555555536,0.7511837121212113
demand_weighted_service_numerator,8.127777777777757,13.22083333333334
duration_days,1.0,1.0
e_battery_external_charge_wh,373.372638701402,320.344632401308
e_battery_external_discharge_wh,596.8094425724489,1522.5755936454186
e_battery_stored_charge_wh,336.0353748312618,288.31016916117727
e_battery_stored_discharge_wh,628.2204658657377,1602.7111512057058
e_ev_during_battery_discharge_wh,745.4999999999989,1786.833333333332
e_ev_useful_wh,1816.4166666666702,3029.333333333336
e_ev_when_pv_zero_wh,313.5833333333333,727.7499999999985
e_pv_curtailed_wh,399.5202365663298,0.0
e_pv_potential_wh,2360.193281180132,2360.193281180132
e_station_base_wh,120.0000000000005,120.0000000000005
ev_during_battery_discharge_percent,41.04234527687282,58.9843749999999
ev_when_pv_zero_percent,17.263843648208436,24.02343749999993
mode_changes,4.0,6.0
pv_utilization_percent,83.0725627535655,100.0
requested_output_hours,48.99999999999994,48.99999999999994
requested_output_service_percent,52.21088435374142,87.0748299319728
served_output_hours,25.583333333333268,42.66666666666662
soc_change_percentage_points,-8.116252528735444,-36.51113839012602
soc_final_percent,86.88374747126456,58.48886160987398
soc_initial_percent,95.0,95.0
soc_min_percent,86.88374747126456,58.48886160987398
time_critical_h,0.0,0.0
time_restricted_h,0.0,0.0
unserved_output_hours,23.416666666666657,6.333333333333328
unserved_station_energy_wh,4.440892098500626e-16,8.881784197001252e-16
