strategy,day,soc_start_percent,soc_min_percent,soc_end_percent,e_pv_wh,e_ev_useful_wh,e_ev_during_battery_discharge_wh,requested_output_service_percent
fis,1,95.0,85.75511127890859,85.75511127890859,2360.193281180132,2082.6666666666697,627.1666666666667,59.863945578231224
threshold,1,95.0,58.48886160987398,58.48886160987398,2360.193281180132,3029.333333333336,1786.833333333332,87.0748299319728
